At itteration 198 Test data , total error of 0.2344, Training Data, total error of 0.228
At itteration 199 Test data , total error of 0.198, Training Data, total error of 0.188
At itteration 200 Test data , total error of 0.1898, Training Data, total error of 0.1822
At itteration 201 Test data , total error of 0.2028, Training Data, total error of 0.192
At itteration 202 Test data , total error of 0.2556, Training Data, total error of 0.2464
At itteration 203 Test data , total error of 0.2556, Training Data, total error of 0.2464
At itteration 204 Test data , total error of 0.2192, Training Data, total error of 0.2066
At itteration 205 Test data , total error of 0.2556, Training Data, total error of 0.2464
At itteration 206 Test data , total error of 0.2556, Training Data, total error of 0.2464
At itteration 207 Test data , total error of 0.2062, Training Data, total error of 0.1968
At itteration 208 Test data , total error of 0.2192, Training Data, total error of 0.2066
At itteration 209 Test data , total error of 0.185, Training Data, total error of 0.1784
At itteration 210 Test data , total error of 0.1898, Training Data, total error of 0.1824
At itteration 211 Test data , total error of 0.2392, Training Data, total error of 0.232
At itteration 212 Test data , total error of 0.1904, Training Data, total error of 0.183
At itteration 213 Test data , total error of 0.2034, Training Data, total error of 0.1928
At itteration 214 Test data , total error of 0.1904, Training Data, total error of 0.183
At itteration 215 Test data , total error of 0.2034, Training Data, total error of 0.1928
At itteration 216 Test data , total error of 0.2564, Training Data, total error of 0.2474
At itteration 217 Test data , total error of 0.2398, Training Data, total error of 0.2326
At itteration 218 Test data , total error of 0.2562, Training Data, total error of 0.2474
At itteration 219 Test data , total error of 0.2562, Training Data, total error of 0.247
At itteration 220 Test data , total error of 0.2398, Training Data, total error of 0.233
At itteration 221 Test data , total error of 0.2398, Training Data, total error of 0.2326
At itteration 222 Test data , total error of 0.2034, Training Data, total error of 0.1932
At itteration 223 Test data , total error of 0.235, Training Data, total error of 0.2286
At itteration 224 Test data , total error of 0.185, Training Data, total error of 0.1758
At itteration 225 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 226 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 227 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 228 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 229 Test data , total error of 0.1846, Training Data, total error of 0.177
At itteration 230 Test data , total error of 0.185, Training Data, total error of 0.1758
At itteration 231 Test data , total error of 0.185, Training Data, total error of 0.1758
At itteration 232 Test data , total error of 0.185, Training Data, total error of 0.1758
At itteration 233 Test data , total error of 0.2014, Training Data, total error of 0.1902
At itteration 234 Test data , total error of 0.185, Training Data, total error of 0.1758
At itteration 235 Test data , total error of 0.185, Training Data, total error of 0.1748
At itteration 236 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 237 Test data , total error of 0.185, Training Data, total error of 0.1748
At itteration 238 Test data , total error of 0.185, Training Data, total error of 0.1746
At itteration 239 Test data , total error of 0.185, Training Data, total error of 0.1746
At itteration 240 Test data , total error of 0.185, Training Data, total error of 0.1746
At itteration 241 Test data , total error of 0.185, Training Data, total error of 0.1746
At itteration 242 Test data , total error of 0.185, Training Data, total error of 0.1746
At itteration 243 Test data , total error of 0.185, Training Data, total error of 0.1746
At itteration 244 Test data , total error of 0.185, Training Data, total error of 0.1748
At itteration 245 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 246 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 247 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 248 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 249 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 250 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 251 Test data , total error of 0.185, Training Data, total error of 0.1756
At itteration 252 Test data , total error of 0.185, Training Data, total error of 0.1756
